title,team,location,link
"Android Engineer, Terminal OS Platform",Terminal,Seattle,https://stripe.com/jobs/listing/android-engineer-terminal-os-platform/7557403
APAC Product Lead,Payments,Singapore,https://stripe.com/jobs/listing/apac-product-lead/7552145
AV Builds and Operations,Infrastructure & Corporate Tech,South San Francisco HQ,https://stripe.com/jobs/listing/av-builds-and-operations/7675097
AV Builds and Operations,Infrastructure & Corporate Tech,London,https://stripe.com/jobs/listing/av-builds-and-operations/7657130
AV Builds and Operations,Infrastructure & Corporate Tech,New York,https://stripe.com/jobs/listing/av-builds-and-operations/7675097
AV Builds and Operations,Infrastructure & Corporate Tech,Bengaluru,https://stripe.com/jobs/listing/av-builds-and-operations/7555995
"Backend / API Engineer, Billing",Metronome,Seattle,https://stripe.com/jobs/listing/backend-api-engineer-billing/7737241
"Backend / API Engineer, Billing",Metronome,South San Francisco HQ,https://stripe.com/jobs/listing/backend-api-engineer-billing/7737241
"Backend / API Engineer, Billing",Metronome,New York,https://stripe.com/jobs/listing/backend-api-engineer-billing/7737241
"Backend / API Engineer, Billing",Metronome,Remote in United States,https://stripe.com/jobs/listing/backend-api-engineer-billing/7737241
"Backend / API Engineer, Privacy Products",Security,South San Francisco HQ,https://stripe.com/jobs/listing/backend-api-engineer-privacy-products/7579264
"Backend / API Engineer, Privacy Products",Security,Seattle,https://stripe.com/jobs/listing/backend-api-engineer-privacy-products/7579264
"Backend Engineer, Core Tech, Canada",Infrastructure & Corporate Tech,Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-core-tech-canada/6567253
"Backend Engineer, Core Tech, Canada",Infrastructure & Corporate Tech,Toronto,https://stripe.com/jobs/listing/backend-engineer-core-tech-canada/6567253
"Backend Engineer, Core Technology",Infrastructure & Corporate Tech,New York,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172
"Backend Engineer, Core Technology",Infrastructure & Corporate Tech,Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172
"Backend Engineer, Core Technology",Infrastructure & Corporate Tech,Seattle,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172
"Backend Engineer, Core Technology",Infrastructure & Corporate Tech,South San Francisco HQ,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172
"Backend Engineer, Core Technology",Infrastructure & Corporate Tech,Remote in United States,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172
"Backend Engineer, Data",Data Platform,Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-data/6865161
"Backend Engineer, Data",Data Platform,Toronto,https://stripe.com/jobs/listing/backend-engineer-data/6865161
"Backend Engineer, Developer Experience & Product Platform",Platform,Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-developer-experience-product-platform/7292520
"Backend Engineer, Developer Experience & Product Platform",Platform,Toronto,https://stripe.com/jobs/listing/backend-engineer-developer-experience-product-platform/7292520
"Backend Engineer, Forward Deployed Engineering",Revenue & Financial Automation,Toronto,https://stripe.com/jobs/listing/backend-engineer-forward-deployed-engineering/7249744
"Backend Engineer, Forward Deployed Engineering",Revenue & Financial Automation,Remote in Canada,https://stripe.com/jobs/listing/backend-engineer-forward-deployed-engineering/7249744
"Backend Engineer, Payments and Risk",Payments,South San Francisco HQ,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/7232592
"Backend Engineer/API, Payments and Risk",Payments,Dublin HQ,https://stripe.com/jobs/listing/backend-engineer-api-payments-and-risk/4921361
"Backend/API Engineer, Money as a Service",Money Movement and Storage,Remote in United States,https://stripe.com/jobs/listing/backend-api-engineer-money-as-a-service/6176758
"Backend/API Engineer, Money as a Service",Money Movement and Storage,Chicago,https://stripe.com/jobs/listing/backend-api-engineer-money-as-a-service/6176758
